21140516,2019-04-05 19:13:46.925892+02,167835,3764749,3764749,t,337618,390780,390780,389156,389156,736593,309491
21140529,2019-04-05 19:13:52.995765+02,334598,3764749,3764749,t,337618,390780,390780,389156,389156,736593,309491
21140535,2019-04-05 19:13:55.581277+02,736593,3764749,3764749,t,337618,390780,390780,389156,389156,736593,309491
21142778,2019-04-05 19:43:12.50606+02,736634,3765129,3765129,t,337607,390804,390804,389180,389180,736635,736634
21142790,2019-04-05 19:43:19.566097+02,736636,3765129,3765129,t,337607,390804,390804,389180,389180,736635,736634
21142792,2019-04-05 19:43:22.413672+02,9287,3765129,3765129,t,337607,390804,390804,389180,389180,736635,736634
21142796,2019-04-05 19:43:28.142749+02,20479,3765129,3765129,t,337607,390804,390804,389180,389180,736635,736634
21142799,2019-04-05 19:43:32.469689+02,736635,3765129,3765129,t,337607,390804,390804,389180,389180,736635,736634
21146247,2019-04-05 20:46:38.075931+02,10595,3765829,3765829,f,339380,390840,390840,389215,389215,17973,10595
21146337,2019-04-05 20:47:43.021892+02,1959,3765829,3765829,f,339380,390840,390840,389215,389215,17973,10595
21146363,2019-04-05 20:48:04.7411+02,114,3765829,3765829,f,339380,390840,390840,389215,389215,17973,10595
21146375,2019-04-05 20:48:23.67543+02,62648,3765829,3765829,f,339380,390840,390840,389215,389215,17973,10595
21146379,2019-04-05 20:48:26.183217+02,17340,3765829,3765829,f,339380,390840,390840,389215,389215,17973,10595
21146383,2019-04-05 20:48:31.771201+02,6217,3765829,3765829,f,339380,390840,390840,389215,389215,17973,10595
21148658,2019-04-05 21:15:33.480646+02,13612,3766262,3766262,f,339017,390862,390862,389237,389237,7494,13612
21148666,2019-04-05 21:15:39.275402+02,11903,3766262,3766262,f,339017,390862,390862,389237,389237,7494,13612
21148669,2019-04-05 21:15:41.454172+02,684,3766262,3766262,f,339017,390862,390862,389237,389237,7494,13612
21148677,2019-04-05 21:15:49.262662+02,57553,3766262,3766262,f,339017,390862,390862,389237,389237,7494,13612
21149578,2019-04-05 21:23:11.120028+02,29554,3766426,3766426,f,339454,390869,390869,389244,389244,162262,29554
21149618,2019-04-05 21:23:29.101387+02,114,3766426,3766426,f,339454,390869,390869,389244,389244,162262,29554
21149647,2019-04-05 21:23:42.728729+02,275,3766426,3766426,f,339454,390869,390869,389244,389244,162262,29554
21149666,2019-04-05 21:23:57.926684+02,198150,3766426,3766426,f,339454,390869,390869,389244,389244,162262,29554
21149700,2019-04-05 21:24:21.182888+02,29554,3766430,3766430,f,334449,390869,390869,389244,389244,162262,29554
21149708,2019-04-05 21:24:28.595977+02,39333,3766430,3766430,f,334449,390869,390869,389244,389244,162262,29554
21149709,2019-04-05 21:24:30.390618+02,973,3766430,3766430,f,334449,390869,390869,389244,389244,162262,29554
21149715,2019-04-05 21:24:38.673255+02,134,3766430,3766430,f,334449,390869,390869,389244,389244,162262,29554
21149723,2019-04-05 21:24:48.006289+02,268,3766430,3766430,f,334449,390869,390869,389244,389244,162262,29554
21150817,2019-04-05 21:43:17.367929+02,38986,3766625,3766625,t,339475,390881,390881,389256,389256,3288,38986
21150830,2019-04-05 21:43:26.465001+02,180959,3766625,3766625,t,339475,390881,390881,389256,389256,3288,38986
21150834,2019-04-05 21:43:29.367783+02,5029,3766625,3766625,t,339475,390881,390881,389256,389256,3288,38986
21150859,2019-04-05 21:43:46.036024+02,17903,3766625,3766625,t,339475,390881,390881,389256,389256,3288,38986
21150871,2019-04-05 21:43:54.000534+02,4155,3766625,3766625,t,339475,390881,390881,389256,389256,3288,38986
21150887,2019-04-05 21:44:10.731603+02,58794,3766625,3766625,t,339475,390881,390881,389256,389256,3288,38986
21150895,2019-04-05 21:44:16.070868+02,3288,3766625,3766625,t,339475,390881,390881,389256,389256,3288,38986
21152660,2019-04-05 22:14:50.396932+02,61328,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152706,2019-04-05 22:15:31.252182+02,531,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152711,2019-04-05 22:15:34.625455+02,64700,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152729,2019-04-05 22:15:47.263928+02,239317,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152732,2019-04-05 22:15:50.304852+02,635691,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152743,2019-04-05 22:16:03.841582+02,34881,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152745,2019-04-05 22:16:06.218688+02,4515,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152755,2019-04-05 22:16:27.896541+02,86298,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21152768,2019-04-05 22:16:40.594511+02,48788,3766954,3766954,f,339504,390904,390904,389279,389279,23716,61328
21154408,2019-04-05 23:03:53.278317+02,10679,3767288,3767288,f,339539,390931,390931,389306,389306,10058,10679
21157892,2019-04-06 00:17:28.659588+02,9062,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21157893,2019-04-06 00:17:30.329585+02,112351,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21157894,2019-04-06 00:17:31.597197+02,5341,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21157898,2019-04-06 00:17:37.542434+02,9102,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21157905,2019-04-06 00:17:46.096125+02,7786,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21157917,2019-04-06 00:18:11.209301+02,6594,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21157921,2019-04-06 00:18:14.856842+02,5343,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21157929,2019-04-06 00:18:22.464117+02,2647,3767915,3767915,t,272076,390965,390965,389340,389340,2647,9062
21160904,2019-04-06 01:28:56.007291+02,7106,3768515,3768515,t,333441,391005,391005,389380,389380,31676,7106
21160910,2019-04-06 01:29:02.811044+02,21301,3768515,3768515,t,333441,391005,391005,389380,389380,31676,7106
21160916,2019-04-06 01:29:07.959242+02,1,3768515,3768515,t,333441,391005,391005,389380,389380,31676,7106
21160921,2019-04-06 01:29:15.650987+02,31676,3768515,3768515,t,333441,391005,391005,389380,389380,31676,7106
21160964,2019-04-06 01:29:50.56447+02,7106,3768524,3768524,t,339668,391005,391005,389380,389380,31676,7106
21160969,2019-04-06 01:29:57.552501+02,6341,3768524,3768524,t,339668,391005,391005,389380,389380,31676,7106
21160976,2019-04-06 01:30:08.909824+02,5446,3768524,3768524,t,339668,391005,391005,389380,389380,31676,7106
21160984,2019-04-06 01:30:18.651789+02,32070,3768524,3768524,t,339668,391005,391005,389380,389380,31676,7106
21160991,2019-04-06 01:30:27.74735+02,5442,3768524,3768524,t,339668,391005,391005,389380,389380,31676,7106
21160996,2019-04-06 01:30:30.903145+02,31676,3768524,3768524,t,339668,391005,391005,389380,389380,31676,7106
21161011,2019-04-06 01:30:48.277136+02,7106,3768532,3768532,f,339675,391005,391005,389380,389380,31676,7106
21161149,2019-04-06 01:34:08.017469+02,259,3768561,3768561,f,339669,391007,391007,389382,389382,15759,259
21161154,2019-04-06 01:34:20.471456+02,43907,3768561,3768561,f,339669,391007,391007,389382,389382,15759,259
